symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
DRZ,Droidz,2015-04-27,2015-04-14,2015-04-27,DRZ,1,28,1,13
TIX,Tickets,2013-11-03,2013-09-20,2013-11-03,Lottery Tickets,1,191,4,44
CKC,Checkcoin,2014-09-19,2014-07-29,2014-09-19,BitsendInc,1,74,1,52
MONETA,Moneta,2015-10-24,2015-10-19,2015-10-24,moneta-dev,1,30,2,53
CANN,CannabisCoin,2014-08-02,2014-06-07,2014-08-02,CannabisCoinDev,1,189,13,121
XJO,Joulecoin,2013-12-06,2013-09-22,2013-12-06,JohnJoule,1,26,2,75
CPC,Capricoin,2015-07-23,2015-07-20,2015-07-23,CapricoinOfficial,1,1,1,3
BOT,Botcoin,2015-09-08,2015-08-31,2015-09-08,Walter Botcoin,1,9,1,8
SOON,SoonCoin,2015-01-28,2014-06-25,2015-01-28,pineapples,1,381,8,392
XBS,BitStake,2015-01-13,2015-01-11,2015-01-13,Bitstake,1,8,1,2
TRICK,TrickyCoin,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4
SWARM,Swarm,2014-09-16,2014-06-24,2014-09-16,fractastical,1,143,1,234
TRBO,TurboStake,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
YUM,CandyCoin,2014-11-16,2014-04-08,2014-11-16,candycoin,1,15,1,222
G3N,Genstake,2015-06-10,2015-10-11,2015-06-10,HORT,1,0,0,-28
EXP,Expanse,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
GHC,GamerholicCoin,2014-10-10,2014-09-25,2014-10-10,coinweaver,1,154,5,238
LQD,LIQUID,2015-02-06,2015-02-07,2015-02-06,Geenstijl,1,214,10,432
XUP,UPcoin,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
BOB,Dobbscoin,2014-08-27,2014-01-10,2014-08-27,deeppurple72,1,373,74,423
PAK,Pakcoin,2015-09-15,2015-06-22,2015-09-15,drwatson84,1,54,1,85
BSTY,GlobalBoost-Y,2014-10-03,2014-09-08,2014-10-03,GlobalBoost,1,231,3,161
SHLD,ShieldCoin,2014-07-12,2014-07-08,2014-07-12,shieldcoindevs,1,28,1,4
SAK,Sharkcoin,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
